ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
18000001,3.0,4.0,-1.0,-1.0,-1.0,-1.0,4.25,5.5,-1.0
18000002,3.8,5.5,-1.0,-1.0,-1.0,-1.0,5.75,7.0,-1.0
18000003,6.6,6.0,3.6,7.25,7.75,4.25,-1.0,-1.0,-1.0
18000004,6.2,5.25,3.8,-1.0,-1.0,-1.0,6.75,8.75,8.75
18000005,9.4,7.25,5.8,9.25,8.25,5.5,-1.0,-1.0,-1.0
18000006,8.4,9.25,8.8,-1.0,-1.0,-1.0,7.75,7.0,8.75
18000007,6.4,5.25,5.4,-1.0,-1.0,-1.0,7.0,9.0,9.0
18000008,3.8,5.5,-1.0,-1.0,-1.0,-1.0,7.25,7.0,-1.0
18000009,7.8,6.5,6.0,7.0,6.0,5.25,-1.0,-1.0,-1.0
18000010,7.6,5.0,-1.0,-1.0,-1.0,-1.0,4.0,5.5,-1.0
18000011,2.8,8.0,3.8,-1.0,-1.0,-1.0,5.0,6.5,6.25
18000012,6.6,6.25,4.6,-1.0,-1.0,-1.0,7.25,7.0,9.25
18000013,1.8,5.25,-1.0,-1.0,-1.0,-1.0,4.75,5.0,-1.0
18000014,5.2,5.75,3.0,-1.0,-1.0,-1.0,7.25,6.5,8.5
18000015,7.6,6.0,7.2,-1.0,-1.0,-1.0,6.5,7.5,9.25
18000016,8.8,6.25,5.0,4.5,8.5,8.25,-1.0,-1.0,-1.0
18000017,8.0,7.25,3.4,7.0,6.75,6.75,-1.0,-1.0,-1.0
18000018,8.0,5.5,7.8,7.5,3.75,5.0,-1.0,-1.0,-1.0
18000019,3.2,5.25,-1.0,-1.0,-1.0,-1.0,6.75,8.0,-1.0
18000020,8.4,7.5,4.8,6.75,8.25,4.25,-1.0,-1.0,-1.0
18000021,6.8,5.25,4.2,5.25,7.25,5.75,-1.0,-1.0,-1.0
18000022,6.8,5.75,4.6,5.25,7.0,4.5,-1.0,-1.0,-1.0
18000023,7.2,6.25,4.4,-1.0,-1.0,-1.0,8.5,6.25,9.0
18000024,4.8,5.75,4.0,-1.0,-1.0,-1.0,3.5,6.0,8.5
18000025,8.8,6.5,7.2,6.75,7.0,5.75,-1.0,-1.0,-1.0
18000026,7.0,6.25,5.0,-1.0,-1.0,-1.0,6.5,6.5,6.0
18000027,1.8,5.25,-1.0,-1.0,-1.0,-1.0,5.75,6.0,-1.0
18000028,6.2,8.0,4.4,-1.0,-1.0,-1.0,7.5,6.25,8.5
18000029,7.4,8.0,5.2,-1.0,-1.0,-1.0,8.75,8.5,9.0
18000030,8.2,6.75,3.8,-1.0,-1.0,-1.0,7.25,5.75,8.75
18000031,7.4,6.0,2.4,-1.0,-1.0,-1.0,7.75,7.0,8.5
18000032,6.6,5.75,4.0,-1.0,-1.0,-1.0,8.0,7.0,8.25
18000033,7.8,6.5,4.4,4.5,8.25,8.25,-1.0,-1.0,-1.0
18000034,8.2,8.0,5.4,6.5,8.0,7.5,-1.0,-1.0,-1.0
18000035,7.4,7.75,4.0,-1.0,-1.0,-1.0,6.5,7.5,7.75
18000036,3.4,6.75,2.4,-1.0,-1.0,-1.0,5.5,6.5,5.5
18000037,6.4,6.0,-1.0,-1.0,-1.0,-1.0,7.75,8.5,-1.0
18000038,2.6,3.5,-1.0,-1.0,-1.0,-1.0,4.25,6.0,-1.0
18000039,5.8,4.0,2.4,-1.0,-1.0,-1.0,4.75,8.25,7.0
18000040,5.0,7.0,3.8,-1.0,-1.0,-1.0,8.25,8.25,8.75
18000041,7.8,6.5,4.4,4.5,6.75,6.5,-1.0,-1.0,-1.0
18000042,6.4,5.25,6.8,-1.0,-1.0,-1.0,5.5,7.5,6.5
18000043,8.2,5.5,9.0,8.25,4.5,5.75,-1.0,-1.0,-1.0
18000044,7.4,5.5,5.0,-1.0,-1.0,-1.0,7.25,7.25,9.0
18000045,6.4,5.0,6.8,6.25,4.0,4.75,-1.0,-1.0,-1.0
18000046,3.8,4.75,-1.0,-1.0,-1.0,-1.0,5.75,5.75,-1.0
